,ID hecho,AAA,MM,DD,FECHA ,VEHICULO_VICTIMA,SEXO_VICTIMA,EDAD_VICTIMA,GRAVEDAD
342,LC-2019-0052617,2019,1,13,2019-01-13,,Varon,36.0,
343,LC-2019-0052617,2019,1,13,2019-01-13,,Mujer,36.0,
344,LC-2019-0025021,2019,1,13,2019-01-13,,varon,74.0,
345,LC-2019-0025831,2019,1,14,2019-01-14,,Varon,21.0,
346,LC-2019-0025831,2019,1,14,2019-01-14,,Mujer,21.0,
347,LC-2019-0025841,2019,1,14,2019-01-14,,Mujer,48.0,
348,LC-2019-0025841,2019,1,14,2019-01-14,,Mujer,48.0,
349,LC-2019-0026116,2019,1,14,2019-01-14,,Varon,,
350,LC-2019-0026619,2019,1,14,2019-01-14,,Varon,29.0,
351,LC-2019-0026635,2019,1,14,2019-01-14,,Mujer,20.0,
352,LC-2019-0026635,2019,1,14,2019-01-14,,Varon,20.0,
353,LC-2019-0027065,2019,1,14,2019-01-14,,Varon,32.0,
354,LC-2019-0027083,2019,1,14,2019-01-14,,Varon,40.0,
355,LC-2019-0027156,2019,1,14,2019-01-14,,Varon,40.0,
356,LC-2019-0027204,2019,1,14,2019-01-14,,Mujer,,
357,LC-2019-0027208,2019,1,14,2019-01-14,,Varon,,
358,LC-2019-0027290,2019,1,14,2019-01-14,,Varon,34.0,
359,LC-2019-0027336,2019,1,14,2019-01-14,,Varon,60.0,
360,LC-2019-0027551,2019,1,14,2019-01-14,,,,
361,LC-2019-0027620,2019,1,14,2019-01-14,,Mujer,,
362,LC-2019-0027679,2019,1,14,2019-01-14,,Mujer,,
363,LC-2019-0027748,2019,1,14,2019-01-14,,Varon,31.0,
364,LC-2019-0027769,2019,1,14,2019-01-14,,Mujer,25.0,
365,LC-2019-0027969,2019,1,14,2019-01-14,,Varon,,
366,LC-2019-0028124,2019,1,14,2019-01-14,,Mujer,,
367,LC-2019-0028203,2019,1,14,2019-01-14,,Varon,29.0,
368,LC-2019-0028228,2019,1,14,2019-01-14,,Varon,41.0,
369,LC-2019-0028228,2019,1,14,2019-01-14,,Varon,41.0,
370,LC-2019-0028384,2019,1,14,2019-01-14,,Varon,25.0,
371,LC-2019-0028499,2019,1,14,2019-01-14,,Varon,33.0,
372,LC-2019-0028597,2019,1,14,2019-01-14,,Varon,27.0,
373,LC-2019-0028635,2019,1,14,2019-01-14,,,,
374,LC-2019-0028641,2019,1,14,2019-01-14,,Varon,33.0,
375,LC-2019-0028794,2019,1,14,2019-01-14,,Varon,30.0,
376,LC-2019-0030752,2019,1,14,2019-01-14,,Mujer,60.0,
